year,month,day,num_in_call,num_out_call,num_mis_call,num_in_caller,num_out_caller,num_mis_caller,total_mins_in_call,total_mins_out_call,num_s,num_r,num_mms_s,num_mms_r,num_s_tel,num_r_tel,total_char_s,total_char_r,text_reciprocity_incoming,text_reciprocity_outgoing
2021,6,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,27,3,1,0,3,1,0,15.966666666666665,21.15,0,12,0,0,0,2,0,641,12,0
2021,6,28,2,3,2,1,1,1,0.6333333333333333,0.0,0,47,0,0,0,3,0,2556,47,0
2021,6,29,1,2,0,1,2,0,1.9,1.85,0,7,0,0,0,1,0,421,7,0
2021,6,30,1,0,1,1,0,1,1.4333333333333333,0.0,0,3,0,0,0,1,0,197,3,0
2021,7,1,13,13,2,4,3,2,31.116666666666667,40.75,0,75,0,0,0,2,0,4413,75,0
2021,7,2,2,4,0,2,1,0,3.35,0.31666666666666665,0,9,0,0,0,1,0,534,9,0
2021,7,3,1,4,2,1,2,1,1.0,6.0166666666666675,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,5,1,3,0,1,3,0,2.1666666666666665,4.683333333333334,0,24,0,0,0,2,0,1431,24,0
2021,7,6,2,0,0,1,0,0,2.166666666666667,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
